unit_id,native_id,kind,parent_unit_id,authored_xml_id,original_id,assembly_id,source_xpath,source_fragment_sha256,content_language,reader_routes,route_granularity,containing_unit_id
"""clp1:front-1-1""","""front-1-1""","""author""","""clp1:front-1""",null,"""front-1-1""","""front-1-1""","""/pretext/book/frontmatter/bibinfo/author[1]""","""aaa9f089236ac88330895be9b05778c1f2bc85735896799ef553d881be15fd02""","""en""","[""front.html#front""]","""containing_source_unit""","""clp1:front"""
"""clp1:front-1-1-1""","""front-1-1-1""","""personname""","""clp1:front-1-1""",null,"""front-1-1-1""","""front-1-1-1""","""/pretext/book/frontmatter/bibinfo/author[1]/personname""","""f1306b199ba9ec26fb869fa7d5de668542b61da45b47693b807baafc65742cf4""","""en""","[""front.html#front""]","""containing_source_unit""","""clp1:front"""
"""clp1:front-1-1-2""","""front-1-1-2""","""affiliation""","""clp1:front-1-1""",null,null,null,"""/pretext/book/frontmatter/bibinfo/author[1]/affiliation""","""d02d8029a5e13c8176ff0d3591591c703983f840d0fb768c7bcd2d58877dc23a""","""en""","[""front.html#front""]","""containing_source_unit""","""clp1:front"""
"""clp1:front-1-1-2-1""","""front-1-1-2-1""","""department""","""clp1:front-1-1-2""",null,"""front-1-1-2""","""front-1-1-2""","""/pretext/book/frontmatter/bibinfo/author[1]/affiliation/department""","""f7c371e506183e4c2c562a016bbf622e29f90efc8b8856f273272d643113b4fc""","""en""","[""front.html#front""]","""containing_source_unit""","""clp1:front"""
"""clp1:front-1-1-2-2""","""front-1-1-2-2""","""institution""","""clp1:front-1-1-2""",null,"""front-1-1-3""","""front-1-1-3""","""/pretext/book/frontmatter/bibinfo/author[1]/affiliation/institution""","""e5784557e2d67332e21cd5942f171e74fed212418f7ced37819d5f6bac9b5ed3""","""en""","[""front.html#front""]","""containing_source_unit""","""clp1:front"""
"""clp1:front-1-1-3""","""front-1-1-3""","""email""","""clp1:front-1-1""",null,"""front-1-1-4""","""front-1-1-4""","""/pretext/book/frontmatter/bibinfo/author[1]/email""","""5e953f638c2fbd92e2262ed72e18c7164dcfe42baac92c284f5314124ccbbd78""","""en""","[""front.html#front""]","""containing_source_unit""","""clp1:front"""
"""clp1:front-1-2""","""front-1-2""","""author""","""clp1:front-1""",null,"""front-1-2""","""front-1-2""","""/pretext/book/frontmatter/bibinfo/author[2]""","""115af0ad0ae3d26a2342cd7af19acb2ca5968e0f7c8dae99e47946b2446027e8""","""en""","[""front.html#front""]","""containing_source_unit""","""clp1:front"""
"""clp1:front-1-2-1""","""front-1-2-1""","""personname""","""clp1:front-1-2""",null,"""front-1-2-1""","""front-1-2-1""","""/pretext/book/frontmatter/bibinfo/author[2]/personname""","""5b627d32783f478c4dd9bb5e643f82e36a0eac0da9600955e416b1bc992fa240""","""en""","[""front.html#front""]","""containing_source_unit""","""clp1:front"""
"""clp1:front-1-2-2""","""front-1-2-2""","""affiliation""","""clp1:front-1-2""",null,null,null,"""/pretext/book/frontmatter/bibinfo/author[2]/affiliation""","""e78781ecd5d4557b3ed428021fb8126b1aa9d7af5d98ecb9f16f1f790da7c63f""","""en""","[""front.html#front""]","""containing_source_unit""","""clp1:front"""
"""clp1:front-1-2-2-1""","""front-1-2-2-1""","""department""","""clp1:front-1-2-2""",null,"""front-1-2-2""","""front-1-2-2""","""/pretext/book/frontmatter/bibinfo/author[2]/affiliation/department""","""056f89e94fc6b39a527d9c7e72a4b45535fcd7ead90814ba7f26c2a62eea904b""","""en""","[""front.html#front""]","""containing_source_unit""","""clp1:front"""
"""clp1:front-1-2-2-2""","""front-1-2-2-2""","""institution""","""clp1:front-1-2-2""",null,"""front-1-2-3""","""front-1-2-3""","""/pretext/book/frontmatter/bibinfo/author[2]/affiliation/institution""","""5db84ad46cbdb434e5200941fd869a79180c039cf4f245b236760e328c801bb8""","""en""","[""front.html#front""]","""containing_source_unit""","""clp1:front"""
"""clp1:front-1-2-3""","""front-1-2-3""","""email""","""clp1:front-1-2""",null,"""front-1-2-4""","""front-1-2-4""","""/pretext/book/frontmatter/bibinfo/author[2]/email""","""a8771cb21e89fc6edd442a700f4090ccb6c0f1921b1dad259eef2cc1f48559c7""","""en""","[""front.html#front""]","""containing_source_unit""","""clp1:front"""
"""clp1:front-1-3""","""front-1-3""","""author""","""clp1:front-1""",null,"""front-1-3""","""front-1-3""","""/pretext/book/frontmatter/bibinfo/author[3]""","""f622c575468bca503224bf286f712787e14a6e4f179eb39ef45ec41c136dec1b""","""en""","[""front.html#front""]","""containing_source_unit""","""clp1:front"""
"""clp1:front-1-3-1""","""front-1-3-1""","""personname""","""clp1:front-1-3""",null,"""front-1-3-1""","""front-1-3-1""","""/pretext/book/frontmatter/bibinfo/author[3]/personname""","""ba5849f9063bbf5104a92f5076e821c6d04eb706159f64a3c5e58b08293f39d6""","""en""","[""front.html#front""]","""containing_source_unit""","""clp1:front"""
"""clp1:front-1-3-2""","""front-1-3-2""","""affiliation""","""clp1:front-1-3""",null,null,null,"""/pretext/book/frontmatter/bibinfo/author[3]/affiliation""","""1550b1b1aec4f3a56745c5e4e1253ea7bb816889be8eb082d6a6cb33c0ff6888""","""en""","[""front.html#front""]","""containing_source_unit""","""clp1:front"""
"""clp1:front-1-3-2-1""","""front-1-3-2-1""","""department""","""clp1:front-1-3-2""",null,"""front-1-3-2""","""front-1-3-2""","""/pretext/book/frontmatter/bibinfo/author[3]/affiliation/department""","""cf833d8a6f0434a9663d06d5796ad42c10a60534eadfcba5cba9df0564e1c5b3""","""en""","[""front.html#front""]","""containing_source_unit""","""clp1:front"""
"""clp1:front-1-3-2-2""","""front-1-3-2-2""","""institution""","""clp1:front-1-3-2""",null,"""front-1-3-3""","""front-1-3-3""","""/pretext/book/frontmatter/bibinfo/author[3]/affiliation/institution""","""68876d8867aac909a6f93f03c979a03ba6d9b686152a1046ed7536c1adacb198""","""en""","[""front.html#front""]","""containing_source_unit""","""clp1:front"""
"""clp1:front-1-3-3""","""front-1-3-3""","""email""","""clp1:front-1-3""",null,"""front-1-3-4""","""front-1-3-4""","""/pretext/book/frontmatter/bibinfo/author[3]/email""","""60a953ca184740347105b8b07820052694695267d21855fdcdca044d7204703c""","""en""","[""front.html#front""]","""containing_source_unit""","""clp1:front"""
"""clp1:front-1-4""","""front-1-4""","""date""","""clp1:front-1""",null,"""front-1-4""","""front-1-4""","""/pretext/book/frontmatter/bibinfo/date""","""6091b98de66669480ad9d58816bef14ea948605c09e55f009de78891c71eb8dd""","""en""","[""front.html#front""]","""containing_source_unit""","""clp1:front"""
"""clp1:front-1-4-1""","""front-1-4-1""","""today""","""clp1:front-1-4""",null,"""front-1-4-1""","""front-1-4-1""","""/pretext/book/frontmatter/bibinfo/date/today""","""3bbceae389272d771e95bab546ebe16dd80aabb17ea49707c9b2498f387bdea5""","""en""","[""front.html#front""]","""containing_source_unit""","""clp1:front"""
"""clp1:front-1-5""","""front-1-5""","""credit""","""clp1:front-1""",null,"""front-2-1""","""front-2-1""","""/pretext/book/frontmatter/bibinfo/credit[1]""","""1e7fdc922a40428abc0418a072ee11814e920d21a90dab0ab16e32520767585b""","""en""","[""front.html#front""]","""containing_source_unit""","""clp1:front"""
"""clp1:front-1-5-1""","""front-1-5-1""","""role""","""clp1:front-1-5""",null,"""front-2-1-1""","""front-2-1-1""","""/pretext/book/frontmatter/bibinfo/credit[1]/role""","""9861e5a9df56bc406d1f418b16bac967e185ff578b1ac569cffb3cb58b114211""","""en""","[""front.html#front""]","""containing_source_unit""","""clp1:front"""
"""clp1:front-1-5-2""","""front-1-5-2""","""entity""","""clp1:front-1-5""",null,"""front-2-1-2""","""front-2-1-2""","""/pretext/book/frontmatter/bibinfo/credit[1]/entity""","""77c6f1fd4226b0709ae511d15c4a81d931ba2f23eeeb1f73b1650a35eb0a0c6d""","""en""","[""front.html#front""]","""containing_source_unit""","""clp1:front"""
"""clp1:front-1-5-2-1""","""front-1-5-2-1""","""mdash""","""clp1:front-1-5-2""",null,"""front-2-1-2-1""","""front-2-1-2-1""","""/pretext/book/frontmatter/bibinfo/credit[1]/entity/mdash""","""febb84bb9c67291c89e0377069bb455d7eae69f1c6a42fab704e2333879eef43""","""en""","[""front.html#front""]","""containing_source_unit""","""clp1:front"""
"""clp1:front-1-5-2-2""","""front-1-5-2-2""","""url""","""clp1:front-1-5-2""",null,"""front-2-1-2-2""","""front-2-1-2-2""","""/pretext/book/frontmatter/bibinfo/credit[1]/entity/url""","""006fb61334e0d8e61d5a0c40b0c25e992a3e9e674b532403bc7c57daa2552d90""","""en""","[""front.html#front""]","""containing_source_unit""","""clp1:front"""
"""clp1:front-1-6""","""front-1-6""","""credit""","""clp1:front-1""",null,"""front-2-5""","""front-2-5""","""/pretext/book/frontmatter/bibinfo/credit[2]""","""8734e0bf6b4293a4a287d940c0272b151ab9a69b19d1d9ab9c825b5049dbea71""","""en""","[""front.html#front""]","""containing_source_unit""","""clp1:front"""
"""clp1:front-1-6-1""","""front-1-6-1""","""role""","""clp1:front-1-6""",null,"""front-2-5-1""","""front-2-5-1""","""/pretext/book/frontmatter/bibinfo/credit[2]/role""","""26189973bf215df35e1b754f5e56fda40d0f5117b44e01f24be66b8c7cbf7a82""","""en""","[""front.html#front""]","""containing_source_unit""","""clp1:front"""
"""clp1:front-1-6-2""","""front-1-6-2""","""entity""","""clp1:front-1-6""",null,"""front-2-5-2""","""front-2-5-2""","""/pretext/book/frontmatter/bibinfo/credit[2]/entity""","""2534184996bb610e12103c3d9ee7abbdf7b9e5dea1187441f2c15839ebad3c23""","""en""","[""front.html#front""]","""containing_source_unit""","""clp1:front"""
"""clp1:front-1-6-2-1""","""front-1-6-2-1""","""url""","""clp1:front-1-6-2""",null,"""front-2-5-2-1""","""front-2-5-2-1""","""/pretext/book/frontmatter/bibinfo/credit[2]/entity/url[1]""","""5c9b348fa340cfe879f50a3dc5e6fc0d56a6c3160f9d4002df04c4ff7974e4d4""","""en""","[""front.html#front""]","""containing_source_unit""","""clp1:front"""
"""clp1:front-1-6-2-2""","""front-1-6-2-2""","""url""","""clp1:front-1-6-2""",null,"""front-2-5-2-2""","""front-2-5-2-2""","""/pretext/book/frontmatter/bibinfo/credit[2]/entity/url[2]""","""1eaa7dba44d1755a3de0d2fb371755fc5380013b5b0f2eefa904182e366de1c7""","""en""","[""front.html#front""]","""containing_source_unit""","""clp1:front"""
"""clp1:front-1-7""","""front-1-7""","""edition""","""clp1:front-1""",null,"""front-2-2""","""front-2-2""","""/pretext/book/frontmatter/bibinfo/edition""","""8a87402d6337a9504aa4e52676e9db66ef3a08ce8fdae84d8dcabffa56a26053""","""en""","[""front.html#front""]","""containing_source_unit""","""clp1:front"""
"""clp1:front-1-8""","""front-1-8""","""website""","""clp1:front-1""",null,"""front-2-3""","""front-2-3""","""/pretext/book/frontmatter/bibinfo/website""","""2545bb56acf74894d4287914b8cc0817ab6f34cd4a340cb87b8052ebefe72ba6""","""en""","[""front.html#front""]","""containing_source_unit""","""clp1:front"""
"""clp1:front-1-8-1""","""front-1-8-1""","""url""","""clp1:front-1-8""",null,"""front-2-3-1""","""front-2-3-1""","""/pretext/book/frontmatter/bibinfo/website/url""","""f485e3053220e5f8f1ddaf054d55d5979946069cf98350fe7031f83ad3c7dafd""","""en""","[""front.html#front""]","""containing_source_unit""","""clp1:front"""
"""clp1:front-1-9""","""front-1-9""","""copyright""","""clp1:front-1""",null,"""front-2-4""","""front-2-4""","""/pretext/book/frontmatter/bibinfo/copyright""","""0ba3af78580327a4db3f182a0849b1b36bd8967220fb5ae7db752938ca5b4855""","""en""","[""front.html#front""]","""containing_source_unit""","""clp1:front"""
"""clp1:front-1-9-1""","""front-1-9-1""","""year""","""clp1:front-1-9""",null,"""front-2-4-1""","""front-2-4-1""","""/pretext/book/frontmatter/bibinfo/copyright/year""","""91354e0e62bca4b5c2dd58e6ca8496d411164a4b2ed245129eeec0ac3da6cc10""","""en""","[""front.html#front""]","""containing_source_unit""","""clp1:front"""
"""clp1:front-1-9-1-1""","""front-1-9-1-1""","""ndash""","""clp1:front-1-9-1""",null,"""front-2-4-1-1""","""front-2-4-1-1""","""/pretext/book/frontmatter/bibinfo/copyright/year/ndash""","""1b20fbb8ebae41bbf346f297d82acad26db9c1ef81edba393d241f03c3d2a40d""","""en""","[""front.html#front""]","""containing_source_unit""","""clp1:front"""
"""clp1:front-1-9-2""","""front-1-9-2""","""holder""","""clp1:front-1-9""",null,"""front-2-4-2""","""front-2-4-2""","""/pretext/book/frontmatter/bibinfo/copyright/holder""","""2883ad444a4ba3f219672fc665176339aeb1c237d2a69da0920eae4ca5570835""","""en""","[""front.html#front""]","""containing_source_unit""","""clp1:front"""
"""clp1:front-1-9-3""","""front-1-9-3""","""minilicense""","""clp1:front-1-9""",null,"""front-2-4-3""","""front-2-4-3""","""/pretext/book/frontmatter/bibinfo/copyright/minilicense""","""be02637a3b1e9efe68e80c4ca5be501d4b25ee84d413f23b7e594a4685d5a4ec""","""en""","[""front.html#front""]","""containing_source_unit""","""clp1:front"""
"""clp1:front-1-9-4""","""front-1-9-4""","""shortlicense""","""clp1:front-1-9""",null,"""front-2-4-4""","""front-2-4-4""","""/pretext/book/frontmatter/bibinfo/copyright/shortlicense""","""c1cab2c528f8434f2ae7b9ebc8e2be800e93034d390c274f6d2eabe06c1f7e2e""","""en""","[""front.html#front""]","""containing_source_unit""","""clp1:front"""
"""clp1:front-1-9-4-1""","""front-1-9-4-1""","""url""","""clp1:front-1-9-4""",null,"""front-2-4-4-1""","""front-2-4-4-1""","""/pretext/book/frontmatter/bibinfo/copyright/shortlicense/url""","""a0b60fa4d805bb2cc580967c9070de242e1cd78c4cb358488bd94a54f7a1301c""","""en""","[""front.html#front""]","""containing_source_unit""","""clp1:front"""
"""clp1:front-1-9-4-2""","""front-1-9-4-2""","""image""","""clp1:front-1-9-4""",null,"""front-2-4-4-2""","""front-2-4-4-2""","""/pretext/book/frontmatter/bibinfo/copyright/shortlicense/image""","""708cdbda41a800062f5fb7c2f8ff8ae3b9d4486d5272a78ee064c11d24eb67b2""","""en""","[""front.html#front""]","""containing_source_unit""","""clp1:front"""
"""clp1:front-2""","""front-2""","""titlepage""","""clp1:front""",null,null,null,"""/pretext/book/frontmatter/titlepage""","""08bd88e0007c891af646b363073420b327f4224685eeb0f717eeb292ad5bb185""","""en""","[""front.html#front""]","""containing_source_unit""","""clp1:front"""
"""clp1:front-2-1""","""front-2-1""","""titlepage-items""","""clp1:front-2""",null,null,null,"""/pretext/book/frontmatter/titlepage/titlepage-items""","""4b36a7e88f35b55ad7b392297e9e96fe6de9ff5eddcbe37d881d834959ff823f""","""en""","[""front.html#front""]","""containing_source_unit""","""clp1:front"""
"""clp1:front-colophon""","""front-colophon""","""colophon""","""clp1:front""",null,null,null,"""/pretext/book/frontmatter/colophon""","""cfe04bb672906d91b0e03d8e552c64f9b9474b3b497f91172285313692f79a0a""","""en""","[""front-colophon.html#front-colophon""]","""exact_anchor""",null
"""clp1:front-colophon-1""","""front-colophon-1""","""colophon-items""","""clp1:front-colophon""",null,null,null,"""/pretext/book/frontmatter/colophon/colophon-items""","""370d4853f24a487370fc76ac8097ffcb4535bd33d7cfd1af7f14d157202d23a7""","""en""","[""front-colophon.html#front-colophon""]","""containing_source_unit""","""clp1:front-colophon"""
"""clp1:front-4""","""front-4""","""preface""","""clp1:front""",null,"""front-3""","""front-3""","""/pretext/book/frontmatter/preface[1]""","""88360218511ef2b42496458c7be7457fc95ef11a2667b3beb8f16fd8039b46d0""","""en""","[""front-4.html#front-4""]","""exact_anchor""",null
"""clp1:front-4-1""","""front-4-1""","""p""","""clp1:front-4""",null,"""front-3-1""","""front-3-1""","""/pretext/book/frontmatter/preface[1]/p[1]""","""1fcdc0ae1f35fd298c83e83cd93c61c30053e79d1949feb96ac2ffa4fb633c85""","""en""","[""front-4.html#front-4-1""]","""exact_anchor""",null
"""clp1:front-4-1-1""","""front-4-1-1""","""url""","""clp1:front-4-1""",null,"""front-3-1-1""","""front-3-1-1""","""/pretext/book/frontmatter/preface[1]/p[1]/url[1]""","""6d1bad423dc08b7e94d14374961dcf2567e4dbafc89847868df304150d345807""","""en""","[""front-4.html#front-4-1""]","""containing_source_unit""","""clp1:front-4-1"""
"""clp1:front-4-1-2""","""front-4-1-2""","""url""","""clp1:front-4-1""",null,"""front-3-1-2""","""front-3-1-2""","""/pretext/book/frontmatter/preface[1]/p[1]/url[2]""","""694b122f1c94257b3839b4f7b0a2dca6ca331afba8182a61f7b4826c4783b759""","""en""","[""front-4.html#front-4-1""]","""containing_source_unit""","""clp1:front-4-1"""
"""clp1:front-4-1-3""","""front-4-1-3""","""mdash""","""clp1:front-4-1""",null,"""front-3-1-3""","""front-3-1-3""","""/pretext/book/frontmatter/preface[1]/p[1]/mdash""","""38a2a2d43e99e7496d6acfa9e17ade2838e9162a6c273db0f309c12b72d9c98e""","""en""","[""front-4.html#front-4-1""]","""containing_source_unit""","""clp1:front-4-1"""
"""clp1:front-4-1-4""","""front-4-1-4""","""url""","""clp1:front-4-1""",null,"""front-3-1-4""","""front-3-1-4""","""/pretext/book/frontmatter/preface[1]/p[1]/url[3]""","""f8ffd20b1d27d67b815ef59470fd81ec964d7f1d3ce115da7b48b4dd9bfadcb8""","""en""","[""front-4.html#front-4-1""]","""containing_source_unit""","""clp1:front-4-1"""
"""clp1:front-4-1-4-1""","""front-4-1-4-1""","""c""","""clp1:front-4-1-4""",null,"""front-3-1-4-1""","""front-3-1-4-1""","""/pretext/book/frontmatter/preface[1]/p[1]/url[3]/c""","""94e7f7ceef842fc40d62b6ab5cd57702017e6d25e0b052555c263d33067d359e""","""en""","[""front-4.html#front-4-1""]","""containing_source_unit""","""clp1:front-4-1"""
"""clp1:front-4-2""","""front-4-2""","""p""","""clp1:front-4""",null,"""front-3-2""","""front-3-2""","""/pretext/book/frontmatter/preface[1]/p[2]""","""8975460e6db7d406ce73f6b0eb2be0649c55465252d52e91783eb509a6ed1dc5""","""en""","[""front-4.html#front-4-2""]","""exact_anchor""",null
"""clp1:front-4-2-1""","""front-4-2-1""","""mdash""","""clp1:front-4-2""",null,"""front-3-2-1""","""front-3-2-1""","""/pretext/book/frontmatter/preface[1]/p[2]/mdash""","""cd1a44650fc3243fd7ff89dd3ef9df9b6e357b0b27669663bee8ce5b210d0734""","""en""","[""front-4.html#front-4-2""]","""containing_source_unit""","""clp1:front-4-2"""
"""clp1:front-4-3""","""front-4-3""","""attribution""","""clp1:front-4""",null,"""front-3-3""","""front-3-3""","""/pretext/book/frontmatter/preface[1]/attribution""","""443f0bf7b1ad9899e96cf7f999bb9c8d0a304596a463d6b7eb0a296be6601e5c""","""en""","[""front-4.html#front-4""]","""containing_source_unit""","""clp1:front-4"""
"""clp1:front-4-3-1""","""front-4-3-1""","""line""","""clp1:front-4-3""",null,"""front-3-3-1""","""front-3-3-1""","""/pretext/book/frontmatter/preface[1]/attribution/line""","""75dd01e0449e0f4f8afef7c21bb2c2fbbe50a7aac4b02257f56a89d5bc7f89da""","""en""","[""front-4.html#front-4""]","""containing_source_unit""","""clp1:front-4"""
"""clp1:front-5""","""front-5""","""dedication""","""clp1:front""",null,"""front-4""","""front-4""","""/pretext/book/frontmatter/dedication""","""d584e3cdc45f8c93b53b04ef61390ea80159b0c95eebde4db2e2d209225cfdf1""","""en""","[""front-5.html#front-5""]","""exact_anchor""",null
"""clp1:front-5-1""","""front-5-1""","""p""","""clp1:front-5""",null,"""front-4-1""","""front-4-1""","""/pretext/book/frontmatter/dedication/p[1]""","""12472c7418b2c5a36c2dd25a9210f8b97869886bd4b5b9781e33d72be1237917""","""en""","[""front-5.html#front-5-1""]","""exact_anchor""",null
"""clp1:front-5-1-1""","""front-5-1-1""","""em""","""clp1:front-5-1""",null,"""front-4-1-1""","""front-4-1-1""","""/pretext/book/frontmatter/dedication/p[1]/em""","""4ac6a3f37245eac3fc93c879e54b7e022c0a243cd0031ca0fdb35d3447ae1384""","""en""","[""front-5.html#front-5-1""]","""containing_source_unit""","""clp1:front-5-1"""
"""clp1:front-5-2""","""front-5-2""","""p""","""clp1:front-5""",null,"""front-4-2""","""front-4-2""","""/pretext/book/frontmatter/dedication/p[2]""","""77f0935a533244ee85c06f54bbbcc58c8714bea9b1c7039339619fa9ae6cf809""","""en""","[""front-5.html#front-5-2""]","""exact_anchor""",null
"""clp1:front-5-2-1""","""front-5-2-1""","""em""","""clp1:front-5-2""",null,"""front-4-2-1""","""front-4-2-1""","""/pretext/book/frontmatter/dedication/p[2]/em""","""786c4255b709d8addfa95c80a1e6a39d12efc48ede69dd0d75a18e0b6204d274""","""en""","[""front-5.html#front-5-2""]","""containing_source_unit""","""clp1:front-5-2"""
"""clp1:front-6""","""front-6""","""acknowledgement""","""clp1:front""",null,"""front-5""","""front-5""","""/pretext/book/frontmatter/acknowledgement""","""7dd22710e7b4f09863f89716f4593f3b5afd18441187d64e06cf93f6ad725c41""","""en""","[""front-6.html#front-6""]","""exact_anchor""",null
"""clp1:front-6-1""","""front-6-1""","""p""","""clp1:front-6""",null,"""front-5-1""","""front-5-1""","""/pretext/book/frontmatter/acknowledgement/p[1]""","""f5cff21921040b107ebc8603f30b50cfb2643a7b4c7eea754c83d5425dea525e""","""en""","[""front-6.html#front-6-1""]","""exact_anchor""",null
"""clp1:front-6-2""","""front-6-2""","""p""","""clp1:front-6""",null,"""front-5-2""","""front-5-2""","""/pretext/book/frontmatter/acknowledgement/p[2]""","""9d59773862492f2ca8a1f68eaee096e58f0e5285f78c529ccd8149ea2a99f9a8""","""en""","[""front-6.html#front-6-2""]","""exact_anchor""",null
"""clp1:front-6-3""","""front-6-3""","""p""","""clp1:front-6""",null,"""front-5-3""","""front-5-3""","""/pretext/book/frontmatter/acknowledgement/p[3]""","""7b355f7d686657b073f62761b73e24679dc267b219b4d6a430539b1c1716eb22""","""en""","[""front-6.html#front-6-3""]","""exact_anchor""",null
"""clp1:front-6-4""","""front-6-4""","""p""","""clp1:front-6""",null,"""front-5-4""","""front-5-4""","""/pretext/book/frontmatter/acknowledgement/p[4]""","""180ec01fceb7b60f8ed58b518014ac98882456632ffdf06e5aebf0556c060491""","""en""","[""front-6.html#front-6-4""]","""exact_anchor""",null
"""clp1:front-6-4-1""","""front-6-4-1""","""ul""","""clp1:front-6-4""",null,"""front-5-4-1""","""front-5-4-1""","""/pretext/book/frontmatter/acknowledgement/p[4]/ul""","""a600a298bb4dc41ca7fc4ff218bec4b3b444807f12404f2ab75e78e2fd2dde4a""","""en""","[""front-6.html#front-6-4-1""]","""exact_anchor""",null
"""clp1:front-6-4-1-1""","""front-6-4-1-1""","""li""","""clp1:front-6-4-1""",null,"""front-5-4-1-1""","""front-5-4-1-1""","""/pretext/book/frontmatter/acknowledgement/p[4]/ul/li[1]""","""a5ca164d437da227c15d61258b45090d2b42c79d2708c59f59f35aae5bf3f3a5""","""en""","[""front-6.html#front-6-4-1-1""]","""exact_anchor""",null
"""clp1:front-6-4-1-1-1""","""front-6-4-1-1-1""","""p""","""clp1:front-6-4-1-1""",null,"""front-5-4-1-1-1""","""front-5-4-1-1-1""","""/pretext/book/frontmatter/acknowledgement/p[4]/ul/li[1]/p""","""8b6e8cb2c0217afcc3256fc02176d4380591c78354e91b5ad223f4415b9011e5""","""en""","[""front-6.html#front-6-4-1-1-1""]","""exact_anchor""",null
"""clp1:front-6-4-1-1-1-1""","""front-6-4-1-1-1-1""","""latex""","""clp1:front-6-4-1-1-1""",null,"""front-5-4-1-1-1-1""","""front-5-4-1-1-1-1""","""/pretext/book/frontmatter/acknowledgement/p[4]/ul/li[1]/p/latex""","""e6ad25ef11efcc21a8eb9b70005c868a84a5f1bd6ed377503ceaddd5090e9370""","""en""","[""front-6.html#front-6-4-1-1-1""]","""containing_source_unit""","""clp1:front-6-4-1-1-1"""
"""clp1:front-6-4-1-1-1-2""","""front-6-4-1-1-1-2""","""pretext""","""clp1:front-6-4-1-1-1""",null,"""front-5-4-1-1-1-2""","""front-5-4-1-1-1-2""","""/pretext/book/frontmatter/acknowledgement/p[4]/ul/li[1]/p/pretext""","""7571721d752ee865687b47955638cd5f9981c6bc6e6f431e5a8d7064f161f3c5""","""en""","[""front-6.html#front-6-4-1-1-1""]","""containing_source_unit""","""clp1:front-6-4-1-1-1"""
