unit_id,native_id,kind,parent_unit_id,authored_xml_id,original_id,assembly_id,source_xpath,source_fragment_sha256,content_language,reader_routes,route_granularity,containing_unit_id
"""clp1:root-1""","""root-1""","""pretext""",null,null,"""root-1""","""root-1""","""/pretext""","""698be4ac5257031014765ec6f6b43f99a7ecaadc1cdd8c647e12b3525c9991e9""","""en""",[],"""preserved_source_only""",null
"""clp1:root-1-1""","""root-1-1""","""docinfo""","""clp1:root-1""",null,"""root-1-1""","""root-1-1""","""/pretext/docinfo""","""1c699b14a3cf7c27320baeb6ae59a4c737b4aa7db2182cd136f16e13413a8ea5""","""en""",[],"""preserved_source_only""",null
"""clp1:root-1-1-1""","""root-1-1-1""","""macros""","""clp1:root-1-1""",null,"""root-1-1-1""","""root-1-1-1""","""/pretext/docinfo/macros""","""14b6d4cea9c656cb0ce44a5cb99bc34edd490a723d05629faab8f90f7c18513e""","""en""",[],"""preserved_source_only""",null
"""clp1:root-1-1-2""","""root-1-1-2""","""math-package""","""clp1:root-1-1""",null,"""root-1-1-2""","""root-1-1-2""","""/pretext/docinfo/math-package""","""72f096f422d7de4465eee568e33826d2bb507018c55c41fbf8e6dd64af34ad90""","""en""",[],"""preserved_source_only""",null
"""clp1:root-1-1-3""","""root-1-1-3""","""latex-image-preamble""","""clp1:root-1-1""",null,"""root-1-1-3""","""root-1-1-3""","""/pretext/docinfo/latex-image-preamble""","""6c46098c4717df845796a2341b51ddd164494ac99928c98743e583e13a42da08""","""en""",[],"""preserved_source_only""",null
"""clp1:root-1-1-4""","""root-1-1-4""","""cross-references""","""clp1:root-1-1""",null,"""root-1-1-4""","""root-1-1-4""","""/pretext/docinfo/cross-references""","""87b4c0d9f0677434061bb39779e602c7fb4c3a099bc1635dfdf8702ee745c43b""","""en""",[],"""preserved_source_only""",null
"""clp1:root-1-1-5""","""root-1-1-5""","""rename""","""clp1:root-1-1""",null,"""root-1-1-5""","""root-1-1-5""","""/pretext/docinfo/rename""","""2e503eb6cc231a922dcd2e0ba9494012e7054432e6ff65cc15567215506962b8""","""en""",[],"""preserved_source_only""",null
"""clp1:clp_1_dc""","""clp_1_dc""","""book""","""clp1:root-1""","""clp_1_dc""","""clp_1_dc""","""clp_1_dc""","""/pretext/book""","""603f0632bf4604cef2591a34889f270d0a57b33a282e8d58438cd2cd93a80161""","""en""","[""clp_1_dc.html#clp_1_dc""]","""exact_anchor""",null
"""clp1:clp_1_dc-1""","""clp_1_dc-1""","""title""","""clp1:clp_1_dc""",null,"""clp_1_dc-1""","""clp_1_dc-1""","""/pretext/book/title""","""05366fa51dd0fb113815f4e815068ed0ac939aa37aa864ed2794293d1b20a6df""","""en""","[""clp_1_dc.html#clp_1_dc""]","""containing_source_unit""","""clp1:clp_1_dc"""
"""clp1:front""","""front""","""frontmatter""","""clp1:clp_1_dc""","""front""","""front""","""front""","""/pretext/book/frontmatter""","""7067bd4bc471190543b5b9863c163377ab768b82d0b15f1afed37a5918a9698b""","""en""","[""front.html#front""]","""exact_anchor""",null
"""clp1:front-1""","""front-1""","""bibinfo""","""clp1:front""",null,null,null,"""/pretext/book/frontmatter/bibinfo""","""8ce9505b1af50675685db5f43d1f0e251b0db2356fe9ca8dc33bd2c6d80175de""","""en""","[""front.html#front""]","""containing_source_unit""","""clp1:front"""
