asset_id,reader_order,reader_caption_id,resource_title,commons_metadata_title,description_url,original_url,selected_url,selected_form,local_path,local_bytes,local_sha256,local_width,local_height,pdf_local_path,pdf_local_bytes,pdf_local_sha256,pdf_companion_source_url,original_bytes,original_sha1,original_width,original_height,mime,commons_timestamp,uploader,artist,license_short,usage_terms,license_url,attribution_required
br-ak-u06-media-001,1,Kurva berparameter dapat dibayangkan sebagai suatu lintasan gerak,File:Krivka parametricky.png,File:Krivka parametricky.png,https://commons.wikimedia.org/wiki/File:Krivka_parametricky.png,https://upload.wikimedia.org/wikipedia/commons/e/e8/Krivka_parametricky.png,https://upload.wikimedia.org/wikipedia/commons/e/e8/Krivka_parametricky.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,original,authority/assets/Krivka_parametricky.png,1598,0ba72359246bdfc6ab819da948a2adf4f8310b884e0585f24ad8bb65c38ff250,300,200,,,,,1598,bbbdfffe2649a97daf11499d41e6a9fcb87cae55,300,200,image/png,2007-10-02T15:03:04Z,Timichal,Original uploader was Beny at cs.wikipedia,Public domain,Public domain,,false
br-ak-u06-media-002,2,Kurva kubik dengan titik ganda,File:Cubic with double point.svg,File:Cubic with double point.svg,https://commons.wikimedia.org/wiki/File:Cubic_with_double_point.svg,https://upload.wikimedia.org/wikipedia/commons/a/a6/Cubic_with_double_point.svg,https://upload.wikimedia.org/wikipedia/commons/a/a6/Cubic_with_double_point.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,original,authority/assets/Cubic_with_double_point.svg,1484,1f6afa90631abb935df525eecb14b0462be0a161ca5542f73fb8b2222792a1f2,425,425,authority/assets/Cubic_with_double_point-500.png,12146,7c39aa0435abed871046f327987d511c27c4315b7c0832e2b90d346bd969a239,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Cubic_with_double_point.svg/500px-Cubic_with_double_point.svg.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,1484,ebcb0c26121cf6dd04e68bbf9555577aac7ec76f,425,425,image/svg+xml,2007-05-17T13:40:50Z,Hagman,de:User:Gunther,Public domain,Public domain,,false
br-ak-u06-media-003,3,Sissoid Diokles (hitam pada gambar) dapat diparameterkan secara rasional,File:Dioklova kisoida.png,File:Dioklova kisoida.png,https://commons.wikimedia.org/wiki/File:Dioklova_kisoida.png,https://upload.wikimedia.org/wikipedia/commons/0/02/Dioklova_kisoida.png,https://upload.wikimedia.org/wikipedia/commons/0/02/Dioklova_kisoida.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,original,authority/assets/Dioklova_kisoida.png,3823,7eeb7d346fd7334ca1f6156244c5a8f594cdd649ba8ba35784a2ee36e5eae6c8,430,793,,,,,3823,588e23c3cca536dd2db73ded5caf0eaffdfc42d3,430,793,image/png,2007-04-14T15:29:26Z,File Upload Bot (Martin Kozák),Pajs at Czech Wikipedia,Public domain,Public domain,,false
