asset_id,reader_order,reader_caption_id,resource_title,commons_metadata_title,description_url,original_url,selected_url,selected_form,local_path,local_bytes,local_sha256,local_width,local_height,pdf_local_path,pdf_local_bytes,pdf_local_sha256,pdf_companion_source_url,original_bytes,original_sha1,original_width,original_height,mime,commons_timestamp,uploader,artist,license_short,usage_terms,license_url,attribution_required
br-ak-u04-media-001,1,Titik-titik untuk triangulasi Delaunay,File:Delaunay_points.png,File:Delaunay points.png,https://commons.wikimedia.org/wiki/File:Delaunay_points.png,https://upload.wikimedia.org/wikipedia/commons/9/96/Delaunay_points.png,https://upload.wikimedia.org/wikipedia/commons/9/96/Delaunay_points.png,original,authority/assets/Delaunay_points.png,2115,52caf1494e51911787264c678138c956a376e58722027d76df461acbc7eb3669,366,366,,,,,2115,fbe24f732a362b4f23f8aee560fee8088e934c24,366,366,image/png,2006-04-14T07:52:23Z,Nü es,Nü es,CC BY-SA 3.0,Creative Commons Attribution-Share Alike 3.0,http://creativecommons.org/licenses/by-sa/3.0/,true
br-ak-u04-media-002,2,Sebuah garis,File:Gerade.svg,File:Gerade.svg,https://commons.wikimedia.org/wiki/File:Gerade.svg,https://upload.wikimedia.org/wikipedia/commons/7/76/Gerade.svg,https://upload.wikimedia.org/wikipedia/commons/7/76/Gerade.svg,original,authority/assets/Gerade.svg,3696,b94da8e7ca2df32b4ec46040aa4ab5e87f8df3099bb67b3598308dc49ee18ffc,600,600,authority/assets/Gerade-500.png,11080,21cdae3afac2dd555085e55000550fc46ddf1877e5e07d94d209a56a2121b601,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Gerade.svg/500px-Gerade.svg.png,3696,516a68b19415c53fa3fd7bd6fd88251d574a481a,600,600,image/svg+xml,2022-08-21T10:44:55Z,CactiStaccingCrane,Adrian Neumann,CC BY-SA 3.0,Creative Commons Attribution-Share Alike 3.0,http://creativecommons.org/licenses/by-sa/3.0/,true
br-ak-u04-media-003,3,Beberapa garis lurus,File:Straight_lines.svg,File:Straight lines.svg,https://commons.wikimedia.org/wiki/File:Straight_lines.svg,https://upload.wikimedia.org/wikipedia/commons/7/76/Straight_lines.svg,https://upload.wikimedia.org/wikipedia/commons/7/76/Straight_lines.svg,original,authority/assets/Straight_lines.svg,13877,4c7593e6337985eb9ee49ccf5d68e981ac2cc98bafbe492100bbc5a8cc7f4e59,512,512,authority/assets/Straight_lines-500.png,19412,cba4d6e56ccfeb570de3f658697c6f0b17aef187f7d45e331c066930f8316780,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Straight_lines.svg/500px-Straight_lines.svg.png,13877,66f1390bfec8f5c0df82fed499244284bf7199ae,512,512,image/svg+xml,2007-11-07T21:32:11Z,LoKiLeCh,Lokilech,CC BY-SA 3.0,Creative Commons Attribution-Share Alike 3.0,http://creativecommons.org/licenses/by-sa/3.0/,true
br-ak-u04-media-004,4,Sebuah ruang linear,File:Linear_space2.png,File:Linear space2.png,https://commons.wikimedia.org/wiki/File:Linear_space2.png,https://upload.wikimedia.org/wikipedia/commons/2/2c/Linear_space2.png,https://upload.wikimedia.org/wikipedia/commons/2/2c/Linear_space2.png,original,authority/assets/Linear_space2.png,1222,9741ed8f560eb96b14c79dba674199de97bca05c0467821eb3aa1836211866fd,150,89,,,,,1222,38a3da36ebea049546f6d3c6dbaed5ab7ebdcfd2,150,89,image/png,2007-10-14T08:24:57Z,Kmhkmh,kmhkmh,CC BY 3.0,Creative Commons Attribution 3.0,https://creativecommons.org/licenses/by/3.0,true
br-ak-u04-media-005,5,"Hidran di Pulau Krk, Kroasia",File:Hydrant_Insel_Krk_Kroatien.jpg,File:Hydrant Insel Krk Kroatien.jpg,https://commons.wikimedia.org/wiki/File:Hydrant_Insel_Krk_Kroatien.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f3/Hydrant_Insel_Krk_Kroatien.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Hydrant_Insel_Krk_Kroatien.jpg/500px-Hydrant_Insel_Krk_Kroatien.jpg,thumbnail,authority/assets/Hydrant_Insel_Krk_Kroatien-500.jpg,301722,988e605826ee2764e086248a087a648672d61554f286a5cf66cbc770a1556529,500,1409,,,,,584994,76e2f066ef5672588fe3a2b9762673598029b74b,623,1755,image/jpeg,2008-07-21T20:12:54Z,Usien,Usien,CC BY-SA 3.0,Creative Commons Attribution-Share Alike 3.0,https://creativecommons.org/licenses/by-sa/3.0,true
br-ak-u04-media-006,6,Arah utama pada sebuah silinder,File:Cylinder_principal_directions.svg,File:Cylinder principal directions.svg,https://commons.wikimedia.org/wiki/File:Cylinder_principal_directions.svg,https://upload.wikimedia.org/wikipedia/commons/0/0b/Cylinder_principal_directions.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Cylinder_principal_directions.svg/250px-Cylinder_principal_directions.svg.png,thumbnail,authority/assets/Cylinder_principal_directions-250.png,20495,62bd57cb61a6bf539dfd71fe5317f1794f819d92a5b39378b4d4434c12063185,250,292,,,,,6813,847b7767e50a876cb83c1f6e708af8f6b13bbbf5,480,560,image/svg+xml,2006-09-02T23:58:47Z,Luca Antonelli,Luca Antonelli ( Luke Antony ),CC BY-SA 3.0,Creative Commons Attribution-Share Alike 3.0,http://creativecommons.org/licenses/by-sa/3.0/,true
br-ak-u04-media-007,7,Dua kurva kubik,File:Two_cubic_curves.png,File:Two cubic curves.png,https://commons.wikimedia.org/wiki/File:Two_cubic_curves.png,https://upload.wikimedia.org/wikipedia/commons/f/f0/Two_cubic_curves.png,https://upload.wikimedia.org/wikipedia/commons/f/f0/Two_cubic_curves.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,thumbnail_unscaled,authority/assets/Two_cubic_curves.png,7957,489afccf2128371df697f6121da75c376f4910a2404dfe572c7ae7adbdac663a,250,251,,,,,7957,60f5c1dec89a6806608626cd85cf1e7b94660863,250,251,image/png,2008-05-16T13:44:00Z,Hack~commonswiki,Hack,Public domain,Public domain,,false
br-ak-u04-media-008,8,Sebuah permukaan dan garis tegak,File:Non_cohen_macaulay_scheme_thumb.png,File:Non cohen macaulay scheme thumb.png,https://commons.wikimedia.org/wiki/File:Non_cohen_macaulay_scheme_thumb.png,https://upload.wikimedia.org/wikipedia/commons/5/5b/Non_cohen_macaulay_scheme_thumb.png,https://upload.wikimedia.org/wikipedia/commons/5/5b/Non_cohen_macaulay_scheme_thumb.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,thumbnail_unscaled,authority/assets/Non_cohen_macaulay_scheme_thumb.png,489,cfb3d131cdad4b19c558c4f2594b6b6d87775209549b7cd72817e0c18e77aab9,244,261,,,,,489,99c4f6d1a15c57a085005f2123dbe7720e2ab8ec,244,261,image/png,2007-07-23T13:03:43Z,Satipatthana,The original uploader was Jakob.scholbach at English Wikipedia .,CC BY-SA 3.0,Creative Commons Attribution-Share Alike 3.0,http://creativecommons.org/licenses/by-sa/3.0/,true
br-ak-u04-media-009,9,Hiperbola siku-siku,File:Rectangular_hyperbola.svg,File:Rectangular hyperbola.svg,https://commons.wikimedia.org/wiki/File:Rectangular_hyperbola.svg,https://upload.wikimedia.org/wikipedia/commons/2/29/Rectangular_hyperbola.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Rectangular_hyperbola.svg/250px-Rectangular_hyperbola.svg.png,thumbnail,authority/assets/Rectangular_hyperbola-250-unit-04.png,4985,e99d6da1e073c025fb056f89cba7e7c2b67543d9fd4cadf246f77c73566d0f4b,250,250,,,,,807,317b5805c131fe0900e32edbcaa5a0ce39305914,300,300,image/svg+xml,2015-01-08T22:50:21Z,Krishnavedala,Qef,Public domain,Public domain,,false
