asset_id,reader_order,reader_caption_id,resource_title,commons_metadata_title,description_url,original_url,selected_url,selected_form,local_path,local_bytes,local_sha256,local_width,local_height,pdf_local_path,pdf_local_bytes,pdf_local_sha256,pdf_companion_source_url,original_bytes,original_sha1,original_width,original_height,mime,commons_timestamp,uploader,artist,license_short,usage_terms,license_url,attribution_required,source_course_creator,source_course_license,html_animation_preserved
br-ak-u07-media-001,1,Kerucut standar,File:DoubleCone.png,File:DoubleCone.png,https://commons.wikimedia.org/wiki/File:DoubleCone.png,https://upload.wikimedia.org/wikipedia/commons/7/72/DoubleCone.png,https://upload.wikimedia.org/wikipedia/commons/7/72/DoubleCone.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,original,authority/assets/DoubleCone.png,251538,4935614e7bfc7cf6bfdf281d4c0cd2eb86117aa98656acc6a1b6a7ba37a8cf68,1350,1274,,,,,251538,d1fd65c2fe5d8d0d81b75d43f6f011cbb051abbb,1350,1274,image/png,2006-12-10T17:37:49Z,RokerHRO,Lars H. Rohwedder ( User:RokerHRO ),Public domain,Public domain,,false,Lars H. Rohwedder (RokerHRO),domain publik,False
br-ak-u07-media-002,2,Irisan-irisan kerucut standar dengan bidang-bidang afin,File:Conic sections.svg,File:Conic sections.svg,https://commons.wikimedia.org/wiki/File:Conic_sections.svg,https://upload.wikimedia.org/wikipedia/commons/c/c0/Conic_sections.svg,https://upload.wikimedia.org/wikipedia/commons/c/c0/Conic_sections.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,original,authority/assets/Conic_sections.svg,47168,1dec2b99a1407321e4c979f06c8aff39dfd3d1a74897eabf7e62db6f22fd1cbc,608,572,authority/assets/Conic_sections-500.png,53233,703b60855486c5be76723fb5b432cd6b9cd37acbdb774349e91dd407da0d7ac8,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Conic_sections.svg/500px-Conic_sections.svg.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,47168,ef69dbc1d04e0ceb9af0906165bdc4e7cb58c713,608,572,image/svg+xml,2007-09-05T20:08:57Z,Anuskafm,,CC BY-SA 3.0,Creative Commons Attribution-Share Alike 3.0,http://creativecommons.org/licenses/by-sa/3.0/,true,Anuskafm,CC BY-SA 3.0,False
br-ak-u07-media-003,3,Tahap pertama transformasi sumbu utama suatu kuadrik,File:Hauptachsentransformation1.png,File:Hauptachsentransformation1.png,https://commons.wikimedia.org/wiki/File:Hauptachsentransformation1.png,https://upload.wikimedia.org/wikipedia/commons/e/e1/Hauptachsentransformation1.png,https://upload.wikimedia.org/wikipedia/commons/e/e1/Hauptachsentransformation1.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,original,authority/assets/Hauptachsentransformation1.png,4977,c5522c81d188d79c8e284f95d096752454f3a71879ab9842ac601dc96bc3c458,657,657,,,,,4977,59ce48d01dfe578c7e1ddb1d80f27afc2c07a9a7,657,657,image/png,2007-09-15T16:17:02Z,Rdb,rdb,Public domain,Public domain,,false,Rdb,domain publik,False
br-ak-u07-media-004,4,Tahap kedua transformasi sumbu utama suatu kuadrik,File:Hauptachsentransformation2.png,File:Hauptachsentransformation2.png,https://commons.wikimedia.org/wiki/File:Hauptachsentransformation2.png,https://upload.wikimedia.org/wikipedia/commons/c/c5/Hauptachsentransformation2.png,https://upload.wikimedia.org/wikipedia/commons/c/c5/Hauptachsentransformation2.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,original,authority/assets/Hauptachsentransformation2.png,6150,0b5db6d54a46418313f402338b83e9dbf9bd544edf33c60ce6b42a494ab7ac5a,653,653,,,,,6150,16bb6ce5d5987719ef39d085b036e1ed1c14ae17,653,653,image/png,2007-09-15T16:18:15Z,Rdb,rdb,Public domain,Public domain,,false,Rdb,domain publik,False
br-ak-u07-media-005,5,Tahap ketiga transformasi sumbu utama suatu kuadrik,File:Hauptachsentransformation3.png,File:Hauptachsentransformation3.png,https://commons.wikimedia.org/wiki/File:Hauptachsentransformation3.png,https://upload.wikimedia.org/wikipedia/commons/1/1e/Hauptachsentransformation3.png,https://upload.wikimedia.org/wikipedia/commons/1/1e/Hauptachsentransformation3.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,original,authority/assets/Hauptachsentransformation3.png,6067,4fbf5933c658f3a54da426001f825fb582e70cd41fc02030eebc8dea53d32355,657,657,,,,,6067,41f54098443178d5f8d57bdfd4611cf7a6ab922c,657,657,image/png,2007-09-15T16:20:20Z,Rdb,rdb,Public domain,Public domain,,false,Rdb,domain publik,False
br-ak-u07-media-006,6,"Potret seorang pria tak dikenal, dahulu disalahidentifikasi sebagai Johannes Kepler",File:Johannes Kepler 1610.jpg,File:Portrait Confused With Johannes Kepler 1610.jpg,https://commons.wikimedia.org/wiki/File:Portrait_Confused_With_Johannes_Kepler_1610.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a9/Portrait_Confused_With_Johannes_Kepler_1610.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a9/Portrait_Confused_With_Johannes_Kepler_1610.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,original,authority/assets/Portrait_Confused_With_Johannes_Kepler_1610.jpg,761776,d7a8c1984a47df396f4d0dc090b836e8073e4f2b1729636f6e871809535a7d4a,1498,2060,,,,,761776,1c95566d5f2c7d63d65088649d98ffdfc73665ce,1498,2060,image/jpeg,2023-09-09T17:41:53Z,Beao,Unidentified painter,Public domain,Public domain,,false,pelukis tidak diketahui; sumber kuliah menyebutnya tidak diketahui (1610),domain publik,False
br-ak-u07-media-007,7,Orbit eliptik,File:Elliptic orbit.gif,File:Elliptic orbit.gif,https://commons.wikimedia.org/wiki/File:Elliptic_orbit.gif,https://upload.wikimedia.org/wikipedia/commons/9/94/Elliptic_orbit.gif,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Elliptic_orbit.gif/250px-Elliptic_orbit.gif,commons_250px_thumbnail,authority/assets/Elliptic_orbit.gif,25637,454befafbb96ec32fc8dfe5aca3a18bf5128656d5eb800ad3b1b3247640af812,250,250,authority/assets/Elliptic_orbit-frame-1.png,5550,6304dcaa58992b7e1de019967efac48ea4698bbdaf7805084ab635c893148d6f,locally derived first frame from byte-exact Commons GIF,18454,99df6bc7c1ddfc409a8ca2cbf4dac80dc8413528,300,300,image/gif,2006-03-07T23:00:39Z,Brandir~commonswiki,Brandir,CC BY-SA 3.0,Creative Commons Attribution-Share Alike 3.0,http://creativecommons.org/licenses/by-sa/3.0/,true,Brandir,CC BY-SA 2.5,True
br-ak-u07-media-008,8,Orbit parabola,File:Parabolic orbit.gif,File:Parabolic orbit.gif,https://commons.wikimedia.org/wiki/File:Parabolic_orbit.gif,https://upload.wikimedia.org/wikipedia/commons/a/af/Parabolic_orbit.gif,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Parabolic_orbit.gif/250px-Parabolic_orbit.gif,commons_250px_thumbnail,authority/assets/Parabolic_orbit.gif,10605,0d9bf982d325d79a50aaae37dd35765a0f01c2f4e194086856a6247108042535,250,250,authority/assets/Parabolic_orbit-frame-1.png,4047,5c9a9f19a45551fb51eed87a7bee262276cb21e330b83f0b8ad6c3e80d7f31ab,locally derived first frame from byte-exact Commons GIF,11312,90b0a608e9352eacedd53d5abdbf1413b63c5c93,300,300,image/gif,2006-03-08T00:26:59Z,Brandir~commonswiki,Brandir,CC BY-SA 3.0,Creative Commons Attribution-Share Alike 3.0,http://creativecommons.org/licenses/by-sa/3.0/,true,Brandir,CC BY-SA 2.5,True
br-ak-u07-media-009,9,Orbit hiperbola,File:Hyperbolic orbit.gif,File:Hyperbolic orbit.gif,https://commons.wikimedia.org/wiki/File:Hyperbolic_orbit.gif,https://upload.wikimedia.org/wikipedia/commons/9/99/Hyperbolic_orbit.gif,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Hyperbolic_orbit.gif/250px-Hyperbolic_orbit.gif,commons_250px_thumbnail,authority/assets/Hyperbolic_orbit.gif,10827,dd7a0a55338c31e0c91ea7f5cc4ace9334d0c9af15b1dd482994544a01dd17d5,250,250,authority/assets/Hyperbolic_orbit-frame-1.png,7458,02316355add5a3b6e62638316a0f4fdd3edd910f4a62f13b22be1bce55ce1b30,locally derived first frame from byte-exact Commons GIF,11784,b0827de7afc5aca4cf3f833c8f76f65476f787de,300,300,image/gif,2006-03-08T00:01:21Z,Brandir~commonswiki,Brandir,CC BY-SA 3.0,Creative Commons Attribution-Share Alike 3.0,http://creativecommons.org/licenses/by-sa/3.0/,true,Brandir,CC BY-SA 2.5,True
