asset_id,reader_order,reader_caption_id,reader_alt_id,resource_title,metadata_title,repository,description_url,original_url,selected_url,selected_form,local_path,local_bytes,local_sha256,local_width,local_height,reported_thumb_width,reported_thumb_height,thumbnail_dimension_discrepancy,frame_count,animation_loop,first_frame_duration_ms,pdf_local_path,pdf_local_bytes,pdf_local_sha256,pdf_companion_source,original_bytes,original_sha1,original_width,original_height,mime,media_type,source_timestamp,uploader,artist,credit,license_short,usage_terms,license_url,attribution_required,extmetadata_canonical_json_sha256,source_course_inline_creator,source_course_inline_license_label,commons_description_license_templates,license_discrepancy_present,license_discrepancy_note,source_course_project,source_course_title,source_course_lecture_title,source_course_creator,source_course_license,description_pageid,description_revid,description_timestamp,description_mediawiki_sha1,description_wikitext_bytes,description_wikitext_sha256,html_animation_preserved
br-bgk-u29-media-001,1,"Torus, permukaan bergenus satu","Permukaan torus berwarna hijau dengan satu pegangan, yaitu permukaan bergenus satu",File:Torus_illustration.png,File:Torus illustration.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Torus_illustration.png,https://upload.wikimedia.org/wikipedia/commons/9/9f/Torus_illustration.png,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Torus_illustration.png/500px-Torus_illustration.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,official Commons 500px PNG thumbnail,authority/assets/bgk-torus-illustration-500.png,80109,bc41c24f82c089084af3cedb0c03c5810d68e449be14507f74ba1b8df1c0394c,500,330,500,330,,1,,,,,,,150645,40b8981eb5d3c98f12109b57b0f281e7a0f6dbc0,900,594,image/png,BITMAP,2008-07-13T01:12:06Z,Oleg Alexandrov,Oleg Alexandrov,Own work,Public domain,Public domain,,false,e6da5d62f541550e5bb458c8872ff12ccd2fc1db6c209d35ebc5130d6d19594f,Oleg Alexandrov,PD,{{PD-self}},True,Label sebaris Wikiversity adalah PD; metadata Commons yang dibekukan menawarkan Public domain. Penggunaan ulang edisi ini mengikat opsi Commons tersebut.,German Wikiversity,"Kurs:Bündel, Garben und Kohomologie (Osnabrück 2019-2020)","Kurs:Bündel, Garben und Kohomologie (Osnabrück 2019-2020)/Vorlesung 29",Holger Brenner / Wikiversity course page,CC BY-SA 4.0,4369490,1134413459,2025-12-21T08:02:32Z,9790f679d35ecf3a4ebb4ee9d89c6bc2759c536e,1821,34bf165a0e96769b75743859648b2ce41a294f372a8d9bf2b7c292bd1b78b4ff,False
br-bgk-u29-media-002,2,"Torus ganda, permukaan bergenus dua","Permukaan torus ganda berwarna hijau dengan dua pegangan, yaitu permukaan bergenus dua",File:Double_torus_illustration.png,File:Double torus illustration.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Double_torus_illustration.png,https://upload.wikimedia.org/wikipedia/commons/b/bc/Double_torus_illustration.png,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Double_torus_illustration.png/500px-Double_torus_illustration.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,official Commons 500px PNG thumbnail,authority/assets/bgk-double-torus-illustration-500.png,112276,072f31ce4314f68943b5ad887972dc9bc499a17c07f43a5c0f1129ce3cfdba13,500,547,500,547,,1,,,,,,,266030,87ef1565f0a904b7ff52022b44a3ca2265339c58,985,1077,image/png,BITMAP,2008-07-12T04:32:19Z,Oleg Alexandrov,Oleg Alexandrov,Own work,Public domain,Public domain,,false,2169c125711f955bdb90c435a1d8782ce8d511a3af5584d8d94f3d0bb34b9daf,Oleg Alexandrov,PD,{{PD-self}},True,Label sebaris Wikiversity adalah PD; metadata Commons yang dibekukan menawarkan Public domain. Penggunaan ulang edisi ini mengikat opsi Commons tersebut.,German Wikiversity,"Kurs:Bündel, Garben und Kohomologie (Osnabrück 2019-2020)","Kurs:Bündel, Garben und Kohomologie (Osnabrück 2019-2020)/Vorlesung 29",Holger Brenner / Wikiversity course page,CC BY-SA 4.0,2690147,1211711172,2026-05-10T11:06:13Z,640673e0e4c111dae4dd6b5a29394d419ac70b26,2404,59b36b02781b763941ae767b434de8841e7d188bee40e6136a34cb0f89acb2d7,False
br-bgk-u29-media-003,3,"Bola dengan tiga pegangan, permukaan bergenus tiga","Permukaan hijau menyerupai bola dengan tiga pegangan, yaitu permukaan bergenus tiga",File:Sphere_with_three_handles.png,File:Sphere with three handles.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Sphere_with_three_handles.png,https://upload.wikimedia.org/wikipedia/commons/a/ac/Sphere_with_three_handles.png,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Sphere_with_three_handles.png/500px-Sphere_with_three_handles.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,official Commons 500px PNG thumbnail,authority/assets/bgk-sphere-with-three-handles-500.png,113133,f8262902f0a343f01bee76890218d42ca6fb282dcd95228af97cef302df5714a,500,384,500,384,,1,,,,,,,398740,6890fd8dbe8f2a238b2629531380e3dcbaa792eb,1308,1004,image/png,BITMAP,2008-06-23T04:28:09Z,Oleg Alexandrov,Oleg Alexandrov,self-made using MATLAB,Public domain,Public domain,,false,ae652cac8b8e2eca7f82a269e729722daf096034a91261f42cafff3fd57335b8,Oleg Alexandrov,PD,{{PD-self}},True,Label sebaris Wikiversity adalah PD; metadata Commons yang dibekukan menawarkan Public domain. Penggunaan ulang edisi ini mengikat opsi Commons tersebut.,German Wikiversity,"Kurs:Bündel, Garben und Kohomologie (Osnabrück 2019-2020)","Kurs:Bündel, Garben und Kohomologie (Osnabrück 2019-2020)/Vorlesung 29",Holger Brenner / Wikiversity course page,CC BY-SA 4.0,4262090,1134413394,2025-12-21T08:02:25Z,b2fabe6bb8a0c3e88ecfc38f253e16d0c98371f0,2819,fa582a2f7824716ff7c409b311cb024a7bbdf650d2bf8e41852581d75f8c9a0c,False
