asset_id,reader_order,reader_caption_id,reader_alt_id,resource_title,metadata_title,repository,description_url,original_url,selected_url,selected_form,local_path,local_bytes,local_sha256,local_width,local_height,reported_thumb_width,reported_thumb_height,thumbnail_dimension_discrepancy,frame_count,pdf_local_path,pdf_local_bytes,pdf_local_sha256,pdf_width,pdf_height,pdf_companion_source,original_bytes,original_sha1,original_width,original_height,mime,media_type,source_timestamp,uploader,artist,credit,license_short,usage_terms,license_url,attribution_required,source_course_creator,source_course_license,description_pageid,description_revid,description_timestamp,description_mediawiki_sha1,description_wikitext_bytes,description_wikitext_sha256,html_animation_preserved
br-ak-u16-media-001,1,Sebuah filter dapat diidentifikasi melalui apa yang tertahan di dalamnya,Kertas penyaring berisi ampas kopi di dalam penyangga keramik putih,File:Kaffeefilter.jpg,File:Kaffeefilter.jpg,commons,https://commons.wikimedia.org/wiki/File:Kaffeefilter.jpg,https://upload.wikimedia.org/wikipedia/commons/a/ae/Kaffeefilter.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Kaffeefilter.jpg/500px-Kaffeefilter.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,official Commons 500px PNG thumbnail,authority/assets/Kaffeefilter-500.jpg,37416,9f7a5b16d515fa46284ed1e9201060ba99b4882df5cf697ccecf66e58d94722c,500,465,500,465,,1,,,,,,,347897,dcc04f3d9ba7b5cf29698d2c719dba7415923683,1075,1000,image/jpeg,BITMAP,2007-02-18T19:21:01Z,Elya,Elke Wetzig ( Elya ),Own work,CC BY-SA 3.0,Creative Commons Attribution-Share Alike 3.0,http://creativecommons.org/licenses/by-sa/3.0/,true,Holger Brenner / Wikiversity course page,CC BY-SA 4.0,1691278,751525337,2023-04-17T22:47:43Z,29e442b0de68c6d90f6822900625a3e93d047b2e,634,ef559dfa9f8d76a92daeb2b97995aa27d56a7471e5856761c1b6d2053c1f087f,False
br-ak-u16-media-002,2,Tidak setiap fungsi pada kerucut di luar sebuah garis dapat diperluas ke seluruh ruang afin tanpa garis tersebut,Kerucut ganda dalam kotak koordinat x y z yang berpotongan dengan sebuah garis miring,File:Cone_intersects_line.png,File:Cone intersects line.png,commons,https://commons.wikimedia.org/wiki/File:Cone_intersects_line.png,https://upload.wikimedia.org/wikipedia/commons/f/f0/Cone_intersects_line.png,https://upload.wikimedia.org/wikipedia/commons/f/f0/Cone_intersects_line.png,original Commons raster,authority/assets/Cone_intersects_line.png,550044,17096b23324c31443fde9e013d0746a9e96cf5a701f8e90cf119451411de0779,360,381,,,,1,,,,,,,550044,7898cae07eb0e9f9349bd6b2e9fc9381dfe0a50f,360,381,image/png,BITMAP,2009-02-20T18:37:39Z,Pmidden,Pmidden,Own work,Public domain,Public domain,,false,Holger Brenner / Wikiversity course page,CC BY-SA 4.0,5931826,867014260,2024-04-09T11:12:12Z,2bf99e7ed66c154dbc0370df39f6dad67e55d598,403,148568ffc829ab0cc53d612855bd5f56ff17771a24424e741ac2278f6f8a7eba,False
br-ak-u16-media-003,3,Serat-serat suatu pemetaan; M adalah kodomain dan domain merupakan gabungan semua serat,Garis-garis serat vertikal di atas cakram U pada ruang dasar berbentuk oval yang diberi label M,File:FiberBundle 2.png,File:FiberBundle 2.png,commons,https://commons.wikimedia.org/wiki/File:FiberBundle_2.png,https://upload.wikimedia.org/wikipedia/commons/3/35/FiberBundle_2.png,https://upload.wikimedia.org/wikipedia/commons/3/35/FiberBundle_2.png,original Commons raster,authority/assets/FiberBundle_2.png,2936,e51ef734bb86a889f81c6b56e8dc0c3f286ba55124d42a8f4a5e6640a9680909,169,207,,,,1,,,,,,,2936,0154a145526a91780eaa1440558feb16e82029ca,169,207,image/png,BITMAP,2006-08-16T18:12:32Z,Snty-tact~commonswiki,ja:user:１３２人目,ja:user:１３２人目 's file.,CC BY-SA 3.0,Creative Commons Attribution-Share Alike 3.0,http://creativecommons.org/licenses/by-sa/3.0/,true,Holger Brenner / Wikiversity course page,CC BY-SA 4.0,1061327,1252004873,2026-07-25T19:04:46Z,575e81899047882d98b84fd2d3416c7707e01dda,1154,0bb34fa65d3f3bee79c87c9f749241ebe86c558aaa9826114007dc64bde257da,False
br-ak-u16-media-004,4,Sketsa gabungan tiga sumbu koordinat pada Solusi 16.12,Tiga sumbu koordinat yang berpotongan di titik asal,File:Draft0.svg,File:Draft0.svg,commons,https://commons.wikimedia.org/wiki/File:Draft0.svg,https://upload.wikimedia.org/wikipedia/commons/7/70/Draft0.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Draft0.svg/500px-Draft0.svg.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,official Commons 500px PNG thumbnail,authority/assets/Draft0-500.png,16732,0eeb76e7396cd19f049224fd45b27403c5ff2cea39c7c9993699b5174a50324b,500,501,500,500,decoded=500x501;reported=500x500,1,,,,,,,6664,df9fd0fd453ecec55acc59cdab95da5ec0ae169e,177,177,image/svg+xml,DRAWING,2006-12-15T10:47:25Z,Kalan,Kalan,Own work,CC BY-SA 3.0,Creative Commons Attribution-Share Alike 3.0,http://creativecommons.org/licenses/by-sa/3.0/,true,Holger Brenner / Wikiversity course page,CC BY-SA 4.0,1463675,1081541183,2025-09-06T04:47:30Z,042edbafe52d2916fd777d6bccc881993724b032,237,9ffa92f4b292e7a619599a7b005b502a779a95c3951f8af09f4a23d980cb7a16,False
