asset_id,reader_order,resource_title,metadata_title,repository,description_url,original_url,selected_url,selected_form,local_path,local_bytes,local_sha256,local_width,local_height,frame_count,pdf_local_path,pdf_local_bytes,pdf_local_sha256,pdf_companion_source,original_bytes,original_sha1,original_width,original_height,mime,media_type,source_timestamp,uploader,artist,credit,license_short,usage_terms,license_url,attribution_required,source_course_creator,source_course_license,description_pageid,description_revid,description_timestamp,description_mediawiki_sha1,description_wikitext_bytes,description_wikitext_sha256,html_animation_preserved
br-ak-u12-media-001,1,File:Alexander_Grothendieck.jpg,File:Alexander Grothendieck.jpg,commons,https://commons.wikimedia.org/wiki/File:Alexander_Grothendieck.jpg,https://upload.wikimedia.org/wikipedia/commons/e/ef/Alexander_Grothendieck.jpg,https://upload.wikimedia.org/wikipedia/commons/e/ef/Alexander_Grothendieck.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,original,authority/assets/Alexander_Grothendieck.jpg,14417,9be130d9a00a5e8d52ef8821cdade34114e6a654908faa8b2e7b90fe377572f2,268,326,1,,,,,14417,9eae65aad5e57227056eaa3722679c2b7d0f6d3e,268,326,image/jpeg,BITMAP,2008-04-19T14:24:29Z,File Upload Bot (Magnus Manske),"Konrad Jacobs, Erlangen, Copyright by MFO / Original uploader was AEDP at it.wikipedia",https://opc.mfo.de/detail?photoID=1452 / Transferred from it.wikipedia,CC BY-SA 2.0 de,Creative Commons Attribution-Share Alike 2.0 de,https://creativecommons.org/licenses/by-sa/2.0/de/deed.en,true,Holger Brenner / Wikiversity course page,CC BY-SA 4.0,3906524,788570852,2023-07-31T06:20:54Z,5f841fb4924faa87f94f1af2ddaebee9176c81d6,1410,a0e9b3dcf71f231e57bef486c433ea90f43bc027d34fe3d25fd6bb26777be5b0,False
br-ak-u12-media-002,2,File:Lineline.jpg,File:Lineline.jpg,commons,https://commons.wikimedia.org/wiki/File:Lineline.jpg,https://upload.wikimedia.org/wikipedia/commons/7/76/Lineline.jpg,https://upload.wikimedia.org/wikipedia/commons/7/76/Lineline.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,original,authority/assets/Lineline.jpg,2475,de30222f7a8019af95e34ebb77d17e8704ed9a39820906e5fa1136bb4cd67858,290,138,1,,,,,2475,3ed95b6a66fa05ac188ed116ee7d51f181c8eddf,290,138,image/jpeg,BITMAP,2007-06-08T16:31:59Z,Astur1,Astur1,Own work,Public domain,Public domain,,false,Holger Brenner / Wikiversity course page,CC BY-SA 4.0,2219044,1214496579,2026-05-15T17:57:34Z,dd98d74ba83c7f41cd4559b2a9d579938715bcfe,230,8fbc453aaca0a9e668eea8d4d3f869c6ae9faaa265aeff13ff3f930525a4fc3a,False
br-ak-u12-media-003,3,File:Lineair-cartesiaans.png,File:Lineair-cartesiaans.png,commons,https://commons.wikimedia.org/wiki/File:Lineair-cartesiaans.png,https://upload.wikimedia.org/wikipedia/commons/6/6e/Lineair-cartesiaans.png,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Lineair-cartesiaans.png/250px-Lineair-cartesiaans.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,official Commons thumbnail (250px),authority/assets/250px-Lineair-cartesiaans.png,11096,2827bd16eb6d65eb9e2e158af309c7740ba2a17342cce57aba03a08b7e37735c,250,164,1,,,,,3397,c4c67214e47c6d1b7e750d603e1af89095f922ea,272,178,image/png,BITMAP,2007-03-28T18:36:30Z,SieBot,MADe at Dutch Wikipedia,Transferred from nl.wikipedia to Commons.,CC BY-SA 3.0,Creative Commons Attribution-Share Alike 3.0,http://creativecommons.org/licenses/by-sa/3.0/,true,Holger Brenner / Wikiversity course page,CC BY-SA 4.0,1855837,651746367,2022-04-25T18:01:17Z,585e5e7d5050b1d6eab00eddd7e52e52ad4709d7,685,d931fe2a68b7329121dd52daae1263eb0b53d278b675be6d50d44483fb7c52e9,False
br-ak-u12-media-004,4,File:Polynomialdeg5.png,File:Polynomialdeg5.png,commons,https://commons.wikimedia.org/wiki/File:Polynomialdeg5.png,https://upload.wikimedia.org/wikipedia/commons/c/cd/Polynomialdeg5.png,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Polynomialdeg5.png/120px-Polynomialdeg5.png,official Commons thumbnail (120px),authority/assets/120px-Polynomialdeg5.png,4838,a00ab550f16915cafe88c55e238335cb8f0743857a1e6a1b0bcba473c48f060c,120,92,1,,,,,4782,bcfff1ce97db87c61cdc63779d0b162789986d3b,233,179,image/png,BITMAP,2005-12-04T09:54:47Z,Derbeth,No machine-readable author provided. Derbeth assumed (based on copyright claims).,No machine-readable source provided. Own work assumed (based on copyright claims).,CC BY-SA 3.0,Creative Commons Attribution-Share Alike 3.0,http://creativecommons.org/licenses/by-sa/3.0/,true,Holger Brenner / Wikiversity course page,CC BY-SA 4.0,445598,453064120,2020-09-09T09:05:00Z,7a4408880b12985a0c06879e4c732a851ffa3292,605,4bb616a6c330142632dcbf0d5caa25b6dda3245e48a5b408cc2c889bb766533b,False
